calificaciones
Apellidos,Nombre,Asistencia,Parcial1,Parcial2,Examen1,Examen2,Practicas,Practica Final
Anido Bonet,David,90%,5.5,2.75,0,5,0,0
Bueno Cerdeira,Patricia,95%,9.5,9,0,0,6.25,0
Casariego García,Raúl,98%,4.25,5.75,6,0,4,5
Curbelo Sánchez,Jorge,75%,6.75,4.25,5,0,0,6.5
Díaz Souto,Sofía,82%,7,6.5,0,0,9,0
García Perez,Yaiza,85%,10,8,0,0,7.5,0
Sánchez Jordán,María,92%,8.75,9,7,0,6.5,0
Lorenzo García,Jaime,100%,9.75,8.25,0,0,7.5,0
Martínez Lucas,Cecilia,86%,7,4,0,0,6.25,0
Mora Peñaloza,Sandra,70%,5.25,2,0,4,6.5,0
Morillo Escudero,Ana,100%,9.5,10,3,0,8.75,0
Muñoz Gómez,Carolina,94%,7.75,6.5,0,0,4,0
Ramirez de la Puente,Raquel,75%,0,1,1,2.75,2.25,3.25
Riego Pizarro,Carlos,75%,4,2.5,5,3.75,0,0
Rodríguez de Blas,Ignacio,80%,8.25,5.25,0,0,6.5,0
Moreno Angulo,Antonio,88%,9,6.75,4,0,5.25,0
